1 2 37 55cce39600
2 2 37 ff70aa3a6a
4 2 0 37 559356b883
5 2 0 37 55a7320c01
5 2 1 37 55ba0830fe
5 2 3 37 5547217b0b
5 2 4 37 555a04c5df
5 2 5 37 556ce7253d
1 3 37 ef52c3d400
2 3 37 ff8389f63d
4 3 0 37 ef06575f33
5 3 0 37 ef1a32a899
5 3 1 37 ef2d08c330
5 3 2 37 ef3fe49f81
5 3 4 37 eecd058baf
5 3 5 37 eedfe7e082
1 4 37 8ed697e000
2 4 37 ff966957a3
4 4 0 37 8e774bf4d7
5 4 0 37 8e8b27431d
5 4 1 37 8e9dfd6270
5 4 2 37 8eb0d94379
5 4 3 37 8ec3b8fde8
5 4 5 37 8e50dc6d43
1 5 37 0074b85000
2 5 37 ffa94f9ea5
4 5 0 37 000286121d
5 5 0 37 001661622a
5 5 1 37 00293783cb
5 5 2 37 003c1366c3
5 5 3 37 004ef323a2
5 5 4 37 0061d2875c
3 37 ffcfbe6400
1 0 38 5d5502f400
2 0 38 ffe3994937
4 0 0 38 5d41290e2a
5 0 1 38 5ccf3862a2
5 0 2 38 5ce214480c
5 0 3 38 5cf4f40aaf
5 0 4 38 5d07d371f3
5 0 5 38 5d1ab9be26
1 1 38 630ff31000
2 1 38 fff66ee572
4 1 0 38 62e94392fa
5 1 0 38 62fd1df5f3
5 1 2 38 628a2eded6
5 1 3 38 629d0e9e21
5 1 4 38 62afee0205
5 1 5 38 62c2d44ac6
1 2 38 5665858a00
2 2 38 94be95c
4 2 0 38 562bf8f390
5 2 0 38 563fd35f47
5 2 1 38 5652a90170
5 2 3 38 55dfc3df35
5 2 4 38 55f2a34b34
5 2 5 38 5605899bec
1 3 38 efeb64e400
2 3 38 1c2b1b57
4 3 0 38 ef9ef9401b
5 3 0 38 efb2d3a1b0
5 3 1 38 efc5a93974
5 3 2 38 efd8863952
5 3 4 38 ef65a3b6c7
5 3 5 38 ef7889fcfc
1 4 38 8f6f3b0c00
2 4 38 2f0c77ea
4 4 0 38 8f0fedf691
5 4 0 38 8f23c85d03
5 4 1 38 8f369df99b
5 4 2 38 8f497afe27
5 4 3 38 8f5c5a2ec9
5 4 5 38 8ee97eaa83
1 5 38 010d55b800
2 5 38 41ecee2a
4 5 0 38 009b282088
5 5 0 38 00af0288c4
5 5 1 38 00c1d82799
5 5 2 38 00d4b52e26
5 5 3 38 00e794612b
5 5 4 38 00fa75c012
3 38 685b7a00
1 0 39 5deda42c00
2 0 39 7c3a5756
4 0 0 39 5dd9c64e11
5 0 1 39 5d67d916db
5 0 2 39 5d7ab620ca
5 0 3 39 5d8d95599c
5 0 4 39 5da076bc07
5 0 5 39 5db3573789
1 1 39 63a8949e00
2 1 39 8f106ad0
4 1 0 39 6381e0b195
5 1 0 39 6395bf0cba
5 1 2 39 6322d09666
5 1 3 39 6335afcbe8
5 1 4 39 6348912ae3
5 1 5 39 635b71a305
1 2 39 56fe268400
2 2 39 a1ec9e57
4 2 0 39 56c4964eac
5 2 0 39 56d874b273
5 2 1 39 56eb4acbc4
5 2 3 39 5678654963
5 2 4 39 568b46b07d
5 2 5 39 569e27308a
1 3 39 f08405f600
2 3 39 b4cc427a
